user,comment
@mohaimenahmad5130,I love you blackpinki am from Bangladesh 🇧🇩🇧🇩🇧🇩
@zhyryn9782,who is watching after baemon house
@AlanAlan-td6wz,Anyone in 2026
@remmiathomas2690,Sooo cute
@remmiathomas2690,Im from india kerala now in uae ras al khaimah
@remmiathomas2690,Im a fan but im soo sad i. Ant meet u guys
@remmiathomas2690,Blackpink fan but i dont have anything
@RumindiImesha,Cute jisoo
@NazzFazz-nv8mp,Any indians here
@MamurjonBoboyev-u8r,
@ThắngNguyễn-x7j6i,hello rob
@nezukokamado-d1j,they are best in cooking too
@kralicelerdunyasi,다들 너무 귀여워요 ️
@RaAl-ic8lj,아 진짜 너무 너무너무너무 귀여워요?
@ewaldbauer2189,Wow
@zobair_ahmad,Jisoo is very cute
@poojatripathi7929,It's 1 mar 2026
@kinjalpatel8896,I am your  biggest  fan
@drsajjadali6256,Like jisoo
@SumaiyaAkter-s6u7u,2026 당신은 누구입니까?
@katarzynaslaby2065,I LOVE YOU
@arizanolumm,8 YEAR?!??!!
@gaimeilugonmei2565,2026
@aartidhasmana1790,5:49 kuma was looking so cute
@alonsocastellon9065,are any of the black pink members religious ?
@nayeon-v2q,저는 그들을 너무너무 사랑해요!
@YeuSan-l2g,Loveee babyy Roséee
@piraramsen3451,Jisoo so cute
@kdnetwork2177,So cool and cute
@LuisjoseVal-m8j,"8

  Black pink   8"
@miser33m81,light pink color anaconda
@stephenkadmielasuncion9529,Jennie voice is so cute
@ΦροσωΠολυζη-σ5γ,Jisoo is sooooo cute! She's so adorable
@BRANDPRICE-g3j,the way lisa loves kuma
@RamalRashmika-u1v,OMG Jisoo
@mdmonirofficial2106,Jisso's song
@mdmonirofficial2106,Jisso's song
@NehirYılmaz9,( * . * ) 8:38
@hiimdanai19,The kuma dance so cute and jisoos voice so cute eee
@almdar-z3c,5:03 5:04
@almdar-z3c,5:01
@Anyaa_SpyxFamily10,Time flies… I still remember them this way🫶
@Tefyy_aim,La extraño tanto..
@swayazzworld,4:45 ️
@swayazzworld,Blackpink 🫶
@LinlinKoko-o4g,Rose Rose Rose Rose Rose Rose Rose Rose Rose Rose
@sivinithaniksha-p4f,Jisso s balloon voice cute i love you ji
@Nandinishah-jk,I love jisoo and har voice
@RozePts,"We miss you, Blackpink. We're watching you from 2026"
@Diyamidhun-w4f,5:09 and Jennie's voice too sooo cute
@Diyamidhun-w4f,5:00 Jisoo's voice is soooooo cute
@Questionlink-vc67,I miss the blackpink house too much
@cilemyilmaz2953,2026
@JhonmartTabao,Blackpink please come back
@AbdulWazedMondol-z7b,Anyone in 2026
@Lisa_2011_nehirimss,5:00 JİSOO İS SO CUTE
@sweety09-q7b,Lisa has come from a different world
@aygunhamzayeva8149,Hay ️🇧🇩
@ManiniManupriya,"안녕하세요!!
: from an Indian"
@Jamielinmaghilumomictin,Merry christmas xmas
@TzoBallan,2026 bye-bye 2025 I love Jisoo  Jennie  Lisa  Rose
@NouraChadli-m2p5d,I love you blackpink🩷
@vaishnavigopinath8643,Unnies are cooking for the maknaes
@zeyneperva9185,5:06 cuteJisoo
@Blink_vibe_gh,This is my 21th time watching this
@Marianamaidana-x4z,Las amo blackpink soy blink hace 5 años
@xill_io9,جاية هنا أسترجع الذكريات.
@EvelynMesina-o7h,지수의 목소리는 정말 달콤해요
@FaizaMahzabinBithi,Jisoo voice is very cute
@ZainabKhatri-f8d2t,Aww my cuties  I love you all so much
@Paws_pactogram-i6o,buleakpinkue = love them alot
@nayanaganesh4653,"Jisoo' s voice is so cute  , i love it"
@moniqueb6662,My brother is the second male to visit the black pink house
@MariaMorales-i9z,My seepeg is eyes you
@MariaMorales-i9z,Hi plisss this show in Panamá plissss  i love
@bilalpatel3758,yg did'n give her food in refersh
@monsitiezxramilover,Türkler burdamı
@steffikoppsieker6267,I'love you Blackpink
@HAYA-16X,BLACK PINK
@Amarahbriellejumuad,3:38 I thought jisoo is a kid
@jisoo-j7c,5:03 jisooooooooooo
@Aradhya-senvi7,5:00  jisoo helium song
@AWASữaTươi,5:05
@MarmochiCheng,The bao bun is a Chinese thing
@nathinha_px,I'm watching for the First time
@agniveshsingh8559,I love  you blackpink
@Artistic_Miha,People in 2026?
@blinks.32,I love you black pink
@sahnaimthiyas4016,Kuku is so cute with Christmas outfit
@sahnaimthiyas4016,"The way jisoo singing 
After some helium i become like this  ohh the voice"
@sahnaimthiyas4016,"Lisa waking up jisoo and carrying her Jisoo eyeliner messed up brooooo yohoooo
I can't stop laughing"
@sahnaimthiyas4016,Rosè enjoying her food is always the best
@sahnaimthiyas4016,"The way Rosè enjoying the bread they are so simple and lovely 
Idk how heaters are hating our sweeties  
I'll always be grateful for them for making my life a little better"
@Valencziavalery,I miss bp️‍
@IkramBaadi,
@Anoudeditz,In this year I was born
@MdSakib-ev7op,
@JUST-Jennie-Lisa,Lisailove yuo
@yertuntstsoodol8775,Jisoo
@HaHa-o7y4z,jisoo s voice is so sweet️
@Safreen3,I love how jisoos the oldest but acts like the youngest
@lxzbelly,Alguém d 2026?
@GaukmdaGaukmda,I want to be the dog🩷
@BLINKSDREAM,Dalgom looks so cute!  and the dog from Jennie too! ( i forget the name of the dog from jennie!)
@Yasamens,Lisa and Rose
@agrimasingh3915,Rosè is so cute she is really a cutie patootie
@Elegance_tz,Jisoo and Lisa
@meerubzulfiqar1709,
@hananayad754,How is comes in 2026🩷
@MdDelwer-d2w,
@gothamekumari4441,Who is in 2026
@Blinkforeverandmonstiez,Jennie and jisoo make their voices so cute° 5:00
@geethadevi576,Spick in english.
@NikitaMeisnam-t4z,Jennie listening to Dua Lipa song new rules
@ThanujaUdayangani-z8b,Jisoo wos so beautiful and cute ️
@Sunsetcore1,Jisoo cute voice  melt my heart
@Minukiku1234,2026
@Aaruchaudharycutegirl,I love all blinks
@MiaMe-o6b2m,Who is on 2026
@Bailey63664,2026 and am still here
@Lamaspro6767,2026년 사람?
@Heaven-j8c,5:42 Jisoo
@FlowerRose-e1m,I also get jump scare when trying to look if the toast is done
@Оксана-ь6ч7м,I love you BLACKPINK ️
@ilysuun9,Extraño estos momentos
@yumiziinhanx,Alguém em 2026 aqui?
@EliSho-t1o,Anyone from 2026?
@Pookie_Rosé,I love you BLACKPINK very much
@angellovespinks,Blinks 2026
@carolinarios9971,Alguien del 2026  feliz cumpleaños jisoo
@yousafsiddiqui1980,Who watch this in 2026
@SkHakkeem-v6j,Happy birthday jisoo
@marigonzalez.08,Iiliflim
@adeelurrehman2552,Eww that's for kidss
@sunnygirl_222,Happy birthday to jisoo
@SaudaIssak,I love you  blink
@SumarSingh-y2t,jisoo your Birthday and I wish you Happy Birthday
@justakpopfan-97,2026?
@Amandagllit,Anyone in 2026?
@user-sd6no2uo5d,2026 ?
@madhunaruka3045,"안녕하세요 여러분, 새해 복 많이 받으세요 2026"
@1234abcd-g5k,저는 블랙핑크를 좋아해요
@imikettani9850,♡ مرحبا Love Rose  you
@rori1298pika,I love you blakpink
@SeethaKumarihami-o3b,හන්ගුක්
@Cute_rubyy.4747,2:35 So rose called foddie
@Royal_Father,그래도 셰프랍시고 겨우 샌드위치 하나를 각잡고 가르칠 수 있을 때가 좋았지 요즘은 감히 셰프 따위가 어딜 한남동 근처에라도 가까이 갈 수가 있나~?
@VateyEang,5:00 omg jisoo voice is so
@BLINKINDO-c3s,Kangen mereka diera ini
@MIMOUNADLI-f8f,헐 한 마디로
@kp_vibesss,5:00 The voice its about to start 2026 and i still remember this!
@sathyanarayanan4662,I LOVE JISOO S PONYTAIL SHE IS LOOKING AS A BABY
@doggy귀여운,강아지 너무 귀엽다
@maryam-x6g2y,4:40 jisoo is looking very cute
@sammymac6166,"How I wish there is subtitle but then again, HAPPY TO SEE THEM SMILING living in normal lifeeven withcam"
@magdalenabaricilbtypeogmlp6074,BLCK PINK
@netheayap,..
@netheayap,I MISS BPHOUSE SM
@matondopatricia9469,"It's beautiful rosé, jisoo, lisa, jennie."
@KawtarKawtar-e9b,أنا أكبر معجبا بكم أحبكم يا بلاك بينك
@라빠야,크리스마스여서 와봤엉요
@KeishaCupido-y9f,혼자 있는 사람 많아
@MosKa-h1s,احبك
@MosKa-h1s,yisoo cute
@DfggFghh-y7b,ครับที่รักเป็นภาพที่ดูมีความสุขกันมาก ๆ  ดูน่ารักทุกคน
@najwanabila4486,Jisoo cute
@jenessa1756,Who is Bridget get back here? Who is Bridget?
@SASHAMILLER-y3l9o,Brown hair rosé
@KimBalais,iloveeeeuuuuu girlssss
@EcemÖmür-t8m,Türkümmmm
